	=subtotal(109,B3:B3)										Total	Unique	Corrected	
1184.0	1	sp|P56212|ARP19_MOUSE	 	30.4	112	12293	cAMP-regulated phosphoprotein 19 OS=Mus musculus OX=10090 GN=Arpp19 PE=1 SV=2	5	5	1.000	5	5	5.000	 
1185.0	1	sp|P56213|ALR_MOUSE	 	12.1	198	22876	FAD-linked sulfhydryl oxidase ALR OS=Mus musculus OX=10090 GN=Gfer PE=1 SV=2	2	2	1.000	2	2	2.000	 
1186.0	1	sp|P56371|RAB4A_MOUSE	 	18.3	218	24408	Ras-related protein Rab-4A OS=Mus musculus OX=10090 GN=Rab4a PE=1 SV=2	9	1	0.111	9	1	1.452	sp|O35963|RB33B_MOUSE, sp|P35276|RAB3D_MOUSE, sp|P35279|RAB6A_MOUSE, sp|P35283|RAB12_MOUSE, sp|P55258|RAB8A_MOUSE, sp|P56371|RAB4A_MOUSE, sp|P61027|RAB10_MOUSE, sp|P61028|RAB8B_MOUSE, sp|P62821|RAB1A_MOUSE, sp|Q6PHN9|RAB35_MOUSE, sp|Q8CG50|RAB43_MOUSE, sp|Q91V41|RAB14_MOUSE, sp|Q91ZR1|RAB4B_MOUSE, sp|Q9D1G1|RAB1B_MOUSE
1187.0	1	sp|P56376|ACYP1_MOUSE	 	36.4	99	11241	Acylphosphatase-1 OS=Mus musculus OX=10090 GN=Acyp1 PE=1 SV=2	4	4	1.000	4	4	4.000	 
1188.0	1	sp|P56379|68MP_MOUSE	 	13.8	58	6698	6.8 kDa mitochondrial proteolipid OS=Mus musculus OX=10090 GN=Mp68 PE=1 SV=1	4	4	1.000	4	4	4.000	 
1189.0	1	sp|P56382|ATP5E_MOUSE	 	44.2	52	5838	ATP synthase subunit epsilon, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1e PE=1 SV=2	5	5	1.000	5	5	5.000	 
1190.0	1	sp|P56390|CKS2_MOUSE	 	32.9	79	9874	Cyclin-dependent kinases regulatory subunit 2 OS=Mus musculus OX=10090 GN=Cks2 PE=1 SV=1	3	3	1.000	3	3	3.000	 
1191.0	1	sp|P56391|CX6B1_MOUSE	 	70.9	86	10071	Cytochrome c oxidase subunit 6B1 OS=Mus musculus OX=10090 GN=Cox6b1 PE=1 SV=2	15	15	1.000	15	15	15.000	 
1192.0	1	sp|P56395|CYB5_MOUSE	 	47.8	134	15241	Cytochrome b5 OS=Mus musculus OX=10090 GN=Cyb5a PE=1 SV=2	11	11	1.000	11	11	11.000	 
1193.0	1	sp|P56399|UBP5_MOUSE	 	23.4	858	95832	Ubiquitin carboxyl-terminal hydrolase 5 OS=Mus musculus OX=10090 GN=Usp5 PE=1 SV=1	26	26	1.000	26	26	26.000	 
1194.0	1	sp|P56477|IRF5_MOUSE	 	8.7	497	56004	Interferon regulatory factor 5 OS=Mus musculus OX=10090 GN=Irf5 PE=1 SV=1	6	6	1.000	6	6	6.000	 
1195.0	1	sp|P56480|ATPB_MOUSE	 	53.7	529	56300	ATP synthase subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1b PE=1 SV=2	108	108	1.000	108	108	108.000	 
1196.0	1	sp|P56528|CD38_MOUSE	 	30.9	304	34407	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 OS=Mus musculus OX=10090 GN=Cd38 PE=1 SV=2	11	11	1.000	11	11	11.000	 
1197.0	1	sp|P56542|DNS2A_MOUSE	 	25.8	353	38810	Deoxyribonuclease-2-alpha OS=Mus musculus OX=10090 GN=Dnase2 PE=1 SV=1	12	12	1.000	12	12	12.000	 
1198.0	1	sp|P56546|CTBP2_MOUSE	 	30.1	445	48956	C-terminal-binding protein 2 OS=Mus musculus OX=10090 GN=Ctbp2 PE=1 SV=2	16	10	0.625	16	10	14.286	sp|O88712|CTBP1_MOUSE, sp|P56546|CTBP2_MOUSE
1199.0	1	sp|P56581|TDG_MOUSE	 	5.5	421	46879	G/T mismatch-specific thymine DNA glycosylase OS=Mus musculus OX=10090 GN=Tdg PE=1 SV=2	2	2	1.000	2	2	2.000	 
1200.0	1	sp|P56812|PDCD5_MOUSE	 	51.6	126	14275	Programmed cell death protein 5 OS=Mus musculus OX=10090 GN=Pdcd5 PE=1 SV=3	9	9	1.000	9	9	9.000	 
1201.0	1	sp|P56959|FUS_MOUSE	 	17.0	518	52673	RNA-binding protein FUS OS=Mus musculus OX=10090 GN=Fus PE=1 SV=1	23	20	0.870	23	20	22.727	sp|P56959|FUS_MOUSE, tr|Q8BQ46|Q8BQ46_MOUSE
1202.0	1	sp|P56960|EXOSX_MOUSE	 	20.5	887	100941	Exosome component 10 OS=Mus musculus OX=10090 GN=Exosc10 PE=1 SV=2	17	17	1.000	17	17	17.000	 
1203.0	1	sp|P57080|UBP25_MOUSE	 	22.0	1055	121419	Ubiquitin carboxyl-terminal hydrolase 25 OS=Mus musculus OX=10090 GN=Usp25 PE=1 SV=2	23	23	1.000	23	23	23.000	 
1204.0	1	sp|P57716|NICA_MOUSE	 	10.3	708	78491	Nicastrin OS=Mus musculus OX=10090 GN=Ncstn PE=1 SV=3	12	12	1.000	12	12	12.000	 
1205.0	1	sp|P57725|SAMN1_MOUSE	 	50.0	372	41601	SAM domain-containing protein SAMSN-1 OS=Mus musculus OX=10090 GN=Samsn1 PE=1 SV=2	20	20	1.000	20	20	20.000	 
1206.0	1	sp|P57746|VATD_MOUSE	 	29.1	247	28369	V-type proton ATPase subunit D OS=Mus musculus OX=10090 GN=Atp6v1d PE=1 SV=1	10	10	1.000	10	10	10.000	 
1207.0	1	sp|P57759|ERP29_MOUSE	 	43.9	262	28823	Endoplasmic reticulum resident protein 29 OS=Mus musculus OX=10090 GN=Erp29 PE=1 SV=2	38	38	1.000	38	38	38.000	 
1208.0	1	sp|P57776|EF1D_MOUSE	 	62.3	281	31293	Elongation factor 1-delta OS=Mus musculus OX=10090 GN=Eef1d PE=1 SV=3	26	24	0.923	26	24	24.857	sp|O70251|EF1B_MOUSE, sp|P57776|EF1D_MOUSE
1209.0	1	sp|P57780|ACTN4_MOUSE	 	61.5	912	104976	Alpha-actinin-4 OS=Mus musculus OX=10090 GN=Actn4 PE=1 SV=1	127	70	0.551	127	70	100.059	sp|O88990|ACTN3_MOUSE, sp|P57780|ACTN4_MOUSE, sp|Q7TPR4|ACTN1_MOUSE, sp|Q9JI91|ACTN2_MOUSE, tr|E9PX29|E9PX29_MOUSE
1210.0	1	sp|P57784|RU2A_MOUSE	 	38.0	255	28357	U2 small nuclear ribonucleoprotein A' OS=Mus musculus OX=10090 GN=Snrpa1 PE=1 SV=2	20	20	1.000	20	20	20.000	 
1211.0	1	sp|P57787|MOT4_MOUSE	 	7.4	470	50373	Monocarboxylate transporter 4 OS=Mus musculus OX=10090 GN=Slc16a3 PE=1 SV=1	6	6	1.000	6	6	6.000	 
1212.0	1	sp|P58021|TM9S2_MOUSE	 	19.5	662	75329	Transmembrane 9 superfamily member 2 OS=Mus musculus OX=10090 GN=Tm9sf2 PE=1 SV=1	18	18	1.000	18	18	18.000	 
1213.0	1	sp|P58044|IDI1_MOUSE	 	51.5	227	26289	Isopentenyl-diphosphate Delta-isomerase 1 OS=Mus musculus OX=10090 GN=Idi1 PE=1 SV=1	13	13	1.000	13	13	13.000	 
1214.0	1	sp|P58058|NADK_MOUSE	 	38.0	439	48597	NAD kinase OS=Mus musculus OX=10090 GN=Nadk PE=1 SV=2	26	26	1.000	26	26	26.000	 
1215.0	1	sp|P58059|RT21_MOUSE	 	39.1	87	10561	28S ribosomal protein S21, mitochondrial OS=Mus musculus OX=10090 GN=Mrps21 PE=1 SV=1	5	5	1.000	5	5	5.000	 
1216.0	1	sp|P58137|ACOT8_MOUSE	 	24.4	320	35827	Acyl-coenzyme A thioesterase 8 OS=Mus musculus OX=10090 GN=Acot8 PE=1 SV=1	8	8	1.000	8	8	8.000	 
1217.0	1	sp|P58242|ASM3B_MOUSE	 	12.9	456	51599	Acid sphingomyelinase-like phosphodiesterase 3b OS=Mus musculus OX=10090 GN=Smpdl3b PE=1 SV=1	5	5	1.000	5	5	5.000	 
1218.0	1	sp|P58252|EF2_MOUSE	 	59.6	858	95313	Elongation factor 2 OS=Mus musculus OX=10090 GN=Eef2 PE=1 SV=2	161	157	0.975	161	157	160.094	sp|O08810|U5S1_MOUSE, sp|P58252|EF2_MOUSE
1219.0	1	sp|P58281|OPA1_MOUSE	 	24.2	960	111338	Dynamin-like 120 kDa protein, mitochondrial OS=Mus musculus OX=10090 GN=Opa1 PE=1 SV=1	28	28	1.000	28	28	28.000	 
1220.0	1	sp|P58389|PTPA_MOUSE	 	34.1	323	36710	Serine/threonine-protein phosphatase 2A activator OS=Mus musculus OX=10090 GN=Ptpa PE=1 SV=1	14	14	1.000	14	14	14.000	 
1221.0	1	sp|P58404|STRN4_MOUSE	 	20.7	760	81644	Striatin-4 OS=Mus musculus OX=10090 GN=Strn4 PE=1 SV=2	11	9	0.818	11	9	9.462	sp|O55106|STRN_MOUSE, sp|P58404|STRN4_MOUSE, sp|Q9ERG2|STRN3_MOUSE
1222.0	1	sp|P58466|CTDS1_MOUSE	 	11.5	261	29266	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 OS=Mus musculus OX=10090 GN=Ctdsp1 PE=1 SV=1	3	3	1.000	3	3	3.000	 
1223.0	1	sp|P58468|F207A_MOUSE	 	13.2	219	24814	Protein FAM207A OS=Mus musculus OX=10090 GN=Fam207a PE=1 SV=1	2	2	1.000	2	2	2.000	 
1224.0	1	sp|P58681|TLR7_MOUSE	 	6.8	1050	121835	Toll-like receptor 7 OS=Mus musculus OX=10090 GN=Tlr7 PE=1 SV=1	5	5	1.000	5	5	5.000	 
1225.0	1	sp|P58742|AAAS_MOUSE	 	28.4	546	59430	Aladin OS=Mus musculus OX=10090 GN=Aaas PE=1 SV=1	15	15	1.000	15	15	15.000	 
1226.0	1	sp|P58771|TPM1_MOUSE	 	46.8	284	32680	Tropomyosin alpha-1 chain OS=Mus musculus OX=10090 GN=Tpm1 PE=1 SV=1	40	11	0.275	40	11	17.553	sp|P21107|TPM3_MOUSE, sp|P58771|TPM1_MOUSE, sp|P58774|TPM2_MOUSE, sp|Q6IRU2|TPM4_MOUSE, tr|D3Z2H9|D3Z2H9_MOUSE
1227.0	1	sp|P58774|TPM2_MOUSE	 	37.7	284	32836	Tropomyosin beta chain OS=Mus musculus OX=10090 GN=Tpm2 PE=1 SV=1	24	5	0.208	24	5	7.291	sp|P21107|TPM3_MOUSE, sp|P58771|TPM1_MOUSE, sp|P58774|TPM2_MOUSE, sp|Q6IRU2|TPM4_MOUSE, tr|D3Z2H9|D3Z2H9_MOUSE
1228.0	1	sp|P58801|RIPK2_MOUSE	 	4.6	539	60399	Receptor-interacting serine/threonine-protein kinase 2 OS=Mus musculus OX=10090 GN=Ripk2 PE=1 SV=1	3	3	1.000	3	3	3.000	 
1229.0	1	sp|P58854|GCP3_MOUSE	 	7.0	905	103468	Gamma-tubulin complex component 3 OS=Mus musculus OX=10090 GN=Tubgcp3 PE=1 SV=2	6	6	1.000	6	6	6.000	 
1230.0	1	sp|P58871|TB182_MOUSE	 	5.5	1720	181823	182 kDa tankyrase-1-binding protein OS=Mus musculus OX=10090 GN=Tnks1bp1 PE=1 SV=2	7	7	1.000	7	7	7.000	 
1231.0	1	sp|P58929|GMEB2_MOUSE	 	4.3	530	56631	Glucocorticoid modulatory element-binding protein 2 OS=Mus musculus OX=10090 GN=Gmeb2 PE=2 SV=2	2	2	1.000	2	2	2.000	 
1232.0	1	sp|P59016|VP33B_MOUSE	 	19.3	617	70525	Vacuolar protein sorting-associated protein 33B OS=Mus musculus OX=10090 GN=Vps33b PE=1 SV=1	10	10	1.000	10	10	10.000	 
1233.0	1	sp|P59017|B2L13_MOUSE	 	8.5	434	46719	Bcl-2-like protein 13 OS=Mus musculus OX=10090 GN=Bcl2l13 PE=1 SV=2	4	4	1.000	4	4	4.000	 
1234.0	1	sp|P59108|CPNE2_MOUSE	 	23.2	548	61035	Copine-2 OS=Mus musculus OX=10090 GN=Cpne2 PE=1 SV=1	16	15	0.938	16	15	15.333	sp|P59108|CPNE2_MOUSE, sp|Q8BT60|CPNE3_MOUSE
1235.0	1	sp|P59110|SENP1_MOUSE	 	9.7	640	72510	Sentrin-specific protease 1 OS=Mus musculus OX=10090 GN=Senp1 PE=1 SV=1	6	6	1.000	6	6	6.000	 
1236.0	1	sp|P59114|PCIF1_MOUSE	 	8.1	706	80504	Phosphorylated CTD-interacting factor 1 OS=Mus musculus OX=10090 GN=Pcif1 PE=1 SV=1	5	5	1.000	5	5	5.000	 
1237.0	1	sp|P59235|NUP43_MOUSE	 	16.3	380	41989	Nucleoporin Nup43 OS=Mus musculus OX=10090 GN=Nup43 PE=1 SV=2	5	5	1.000	5	5	5.000	 
1238.0	1	sp|P59325|IF5_MOUSE	 	42.0	429	48968	Eukaryotic translation initiation factor 5 OS=Mus musculus OX=10090 GN=Eif5 PE=1 SV=1	27	27	1.000	27	27	27.000	 
1239.0	1	sp|P59326|YTHD1_MOUSE	 	10.7	559	60878	YTH domain-containing family protein 1 OS=Mus musculus OX=10090 GN=Ythdf1 PE=1 SV=1	6	2	0.333	6	2	3.134	sp|P59326|YTHD1_MOUSE, sp|Q8BYK6|YTHD3_MOUSE, sp|Q91YT7|YTHD2_MOUSE
1240.0	1	sp|P59328|WDHD1_MOUSE	 	22.9	1117	124253	WD repeat and HMG-box DNA-binding protein 1 OS=Mus musculus OX=10090 GN=Wdhd1 PE=1 SV=2	21	21	1.000	21	21	21.000	 
1241.0	1	sp|P59672|ANS1A_MOUSE	 	4.8	1150	125241	Ankyrin repeat and SAM domain-containing protein 1A OS=Mus musculus OX=10090 GN=Anks1a PE=1 SV=3	5	5	1.000	5	5	5.000	 
1242.0	1	sp|P59708|SF3B6_MOUSE	 	46.4	125	14585	Splicing factor 3B subunit 6 OS=Mus musculus OX=10090 GN=Sf3b6 PE=1 SV=1	13	13	1.000	13	13	13.000	 
1243.0	1	sp|P59729|RIN3_MOUSE	 	14.9	980	107219	Ras and Rab interactor 3 OS=Mus musculus OX=10090 GN=Rin3 PE=1 SV=2	13	13	1.000	13	13	13.000	 
1244.0	1	sp|P59759|MRTFB_MOUSE	 	2.5	1080	117545	Myocardin-related transcription factor B OS=Mus musculus OX=10090 GN=Mrtfb PE=1 SV=1	3	3	1.000	3	3	3.000	 
1245.0	1	sp|P59997|KDM2A_MOUSE	 	11.5	1161	132678	Lysine-specific demethylase 2A OS=Mus musculus OX=10090 GN=Kdm2a PE=1 SV=2	12	10	0.833	12	10	11.538	sp|P59997|KDM2A_MOUSE, sp|Q9Z222|B3GN2_MOUSE
1246.0	1	sp|P59999|ARPC4_MOUSE	 	51.2	168	19667	Actin-related protein 2/3 complex subunit 4 OS=Mus musculus OX=10090 GN=Arpc4 PE=1 SV=3	8	8	1.000	8	8	8.000	 
1247.0	1	sp|P60003|ELOF1_MOUSE	 	21.7	83	9462	Transcription elongation factor 1 homolog OS=Mus musculus OX=10090 GN=Elof1 PE=1 SV=1	4	4	1.000	4	4	4.000	 
1248.0	1	sp|P60122|RUVB1_MOUSE	 	52.9	456	50213	RuvB-like 1 OS=Mus musculus OX=10090 GN=Ruvbl1 PE=1 SV=1	46	46	1.000	46	46	46.000	 
1249.0	1	sp|P60229|EIF3E_MOUSE	 	28.8	445	52220	Eukaryotic translation initiation factor 3 subunit E OS=Mus musculus OX=10090 GN=Eif3e PE=1 SV=1	24	24	1.000	24	24	24.000	 
1250.0	1	sp|P60335|PCBP1_MOUSE	 	57.9	356	37497	Poly(rC)-binding protein 1 OS=Mus musculus OX=10090 GN=Pcbp1 PE=1 SV=1	55	37	0.673	55	37	49.333	sp|P60335|PCBP1_MOUSE, sp|Q61990|PCBP2_MOUSE
1251.0	1	sp|P60521|GBRL2_MOUSE	 	27.4	117	13667	Gamma-aminobutyric acid receptor-associated protein-like 2 OS=Mus musculus OX=10090 GN=Gabarapl2 PE=1 SV=1	5	5	1.000	5	5	5.000	 
1252.0	1	sp|P60605|UB2G2_MOUSE	 	22.4	165	18566	Ubiquitin-conjugating enzyme E2 G2 OS=Mus musculus OX=10090 GN=Ube2g2 PE=1 SV=1	4	4	1.000	4	4	4.000	 
1253.0	1	sp|P60670|NPL4_MOUSE	 	40.5	608	68016	Nuclear protein localization protein 4 homolog OS=Mus musculus OX=10090 GN=Nploc4 PE=1 SV=3	20	20	1.000	20	20	20.000	 
1254.0	1	sp|P60710|ACTB_MOUSE	 	74.9	375	41736	Actin, cytoplasmic 1 OS=Mus musculus OX=10090 GN=Actb PE=1 SV=1	852	400	0.469	852	400	771.578	sp|P60710|ACTB_MOUSE, sp|P68134|ACTS_MOUSE, sp|Q8BFZ3|ACTBL_MOUSE, tr|V9GXQ2|V9GXQ2_MOUSE
1254.01	1	sp|P63260|ACTG_MOUSE	redundant	74.9	375	41792	Actin, cytoplasmic 2 OS=Mus musculus OX=10090 GN=Actg1 PE=1 SV=1	852	400	0.469	852	400	771.578	sp|P60710|ACTB_MOUSE, sp|P68134|ACTS_MOUSE, sp|Q8BFZ3|ACTBL_MOUSE, tr|V9GXQ2|V9GXQ2_MOUSE
1255.0	1	sp|P60762|MO4L1_MOUSE	 	9.7	362	41492	Mortality factor 4-like protein 1 OS=Mus musculus OX=10090 GN=Morf4l1 PE=1 SV=2	5	5	1.000	5	5	5.000	 
1256.0	1	sp|P60766|CDC42_MOUSE	 	39.3	191	21258	Cell division control protein 42 homolog OS=Mus musculus OX=10090 GN=Cdc42 PE=1 SV=2	28	24	0.857	28	24	25.067	sp|P60766|CDC42_MOUSE, sp|P63001|RAC1_MOUSE, sp|P84096|RHOG_MOUSE, sp|Q05144|RAC2_MOUSE
1257.0	1	sp|P60824|CIRBP_MOUSE	 	14.5	172	18607	Cold-inducible RNA-binding protein OS=Mus musculus OX=10090 GN=Cirbp PE=1 SV=1	4	4	1.000	4	4	4.000	 
1258.0	1	sp|P60843|IF4A1_MOUSE	 	66.0	406	46153	Eukaryotic initiation factor 4A-I OS=Mus musculus OX=10090 GN=Eif4a1 PE=1 SV=1	106	56	0.528	106	56	100.897	sp|P10630|IF4A2_MOUSE, sp|P60843|IF4A1_MOUSE, sp|Q91VC3|IF4A3_MOUSE
1259.0	1	sp|P60867|RS20_MOUSE	 	28.6	119	13373	40S ribosomal protein S20 OS=Mus musculus OX=10090 GN=Rps20 PE=1 SV=1	12	12	1.000	12	12	12.000	 
1260.0	1	sp|P60898|RPB9_MOUSE	 	39.2	125	14523	DNA-directed RNA polymerase II subunit RPB9 OS=Mus musculus OX=10090 GN=Polr2i PE=1 SV=1	4	4	1.000	4	4	4.000	 
1261.0	1	sp|P61021|RAB5B_MOUSE	 	42.3	215	23707	Ras-related protein Rab-5B OS=Mus musculus OX=10090 GN=Rab5b PE=1 SV=1	17	7	0.412	17	7	9.121	sp|P35278|RAB5C_MOUSE, sp|P61021|RAB5B_MOUSE, sp|Q9CQD1|RAB5A_MOUSE
1262.0	1	sp|P61022|CHP1_MOUSE	 	31.8	195	22432	Calcineurin B homologous protein 1 OS=Mus musculus OX=10090 GN=Chp1 PE=1 SV=2	7	7	1.000	7	7	7.000	 
1263.0	1	sp|P61025|CKS1_MOUSE	 	32.9	79	9660	Cyclin-dependent kinases regulatory subunit 1 OS=Mus musculus OX=10090 GN=Cks1b PE=3 SV=1	4	4	1.000	4	4	4.000	 
1263.01	1	tr|Q3UNC9|Q3UNC9_MOUSE	redundant	27.1	96	11553	Cyclin-dependent kinases regulatory subunit OS=Mus musculus OX=10090 GN=Cks1brt PE=2 SV=1	4	4	1.000	4	4	4.000	 
1264.0	1	sp|P61027|RAB10_MOUSE	 	29.0	200	22541	Ras-related protein Rab-10 OS=Mus musculus OX=10090 GN=Rab10 PE=1 SV=1	16	3	0.188	16	3	4.495	sp|O35963|RB33B_MOUSE, sp|P35276|RAB3D_MOUSE, sp|P35279|RAB6A_MOUSE, sp|P35283|RAB12_MOUSE, sp|P55258|RAB8A_MOUSE, sp|P56371|RAB4A_MOUSE, sp|P61027|RAB10_MOUSE, sp|P61028|RAB8B_MOUSE, sp|P62821|RAB1A_MOUSE, sp|Q6PHN9|RAB35_MOUSE, sp|Q8CG50|RAB43_MOUSE, sp|Q91V41|RAB14_MOUSE, sp|Q91ZR1|RAB4B_MOUSE, sp|Q9D1G1|RAB1B_MOUSE, sp|Q9DD03|RAB13_MOUSE
1265.0	1	sp|P61028|RAB8B_MOUSE	 	46.4	207	23603	Ras-related protein Rab-8B OS=Mus musculus OX=10090 GN=Rab8b PE=1 SV=1	29	7	0.241	29	7	12.175	sp|O35963|RB33B_MOUSE, sp|P35276|RAB3D_MOUSE, sp|P35279|RAB6A_MOUSE, sp|P35283|RAB12_MOUSE, sp|P55258|RAB8A_MOUSE, sp|P56371|RAB4A_MOUSE, sp|P61027|RAB10_MOUSE, sp|P61028|RAB8B_MOUSE, sp|P62821|RAB1A_MOUSE, sp|Q6PHN9|RAB35_MOUSE, sp|Q8CG50|RAB43_MOUSE, sp|Q91V41|RAB14_MOUSE, sp|Q91ZR1|RAB4B_MOUSE, sp|Q9D1G1|RAB1B_MOUSE, sp|Q9DD03|RAB13_MOUSE
1266.0	1	sp|P61080|UB2D1_MOUSE	 	19.7	147	16602	Ubiquitin-conjugating enzyme E2 D1 OS=Mus musculus OX=10090 GN=Ube2d1 PE=1 SV=1	4	1	0.250	4	1	1.600	sp|P61080|UB2D1_MOUSE, sp|P62838|UB2D2_MOUSE
1267.0	1	sp|P61082|UBC12_MOUSE	 	27.3	183	20900	NEDD8-conjugating enzyme Ubc12 OS=Mus musculus OX=10090 GN=Ube2m PE=1 SV=1	10	10	1.000	10	10	10.000	 
1268.0	1	sp|P61087|UBE2K_MOUSE	 	47.5	200	22406	Ubiquitin-conjugating enzyme E2 K OS=Mus musculus OX=10090 GN=Ube2k PE=1 SV=3	17	17	1.000	17	17	17.000	 
1269.0	1	sp|P61089|UBE2N_MOUSE	 	63.8	152	17138	Ubiquitin-conjugating enzyme E2 N OS=Mus musculus OX=10090 GN=Ube2n PE=1 SV=1	22	22	1.000	22	22	22.000	 
1270.0	1	sp|P61161|ARP2_MOUSE	 	42.9	394	44760	Actin-related protein 2 OS=Mus musculus OX=10090 GN=Actr2 PE=1 SV=1	66	66	1.000	66	66	66.000	 
1271.0	1	sp|P61164|ACTZ_MOUSE	 	43.1	376	42613	Alpha-centractin OS=Mus musculus OX=10090 GN=Actr1a PE=1 SV=1	22	8	0.364	22	8	19.200	sp|P61164|ACTZ_MOUSE, sp|Q8R5C5|ACTY_MOUSE
1272.0	1	sp|P61202|CSN2_MOUSE	 	33.6	443	51596	COP9 signalosome complex subunit 2 OS=Mus musculus OX=10090 GN=Cops2 PE=1 SV=1	21	21	1.000	21	21	21.000	 
1273.0	1	sp|P61205|ARF3_MOUSE	 	47.0	181	20601	ADP-ribosylation factor 3 OS=Mus musculus OX=10090 GN=Arf3 PE=2 SV=2	33	14	0.424	33	14	23.680	sp|P61205|ARF3_MOUSE, sp|P61750|ARF4_MOUSE, sp|P84084|ARF5_MOUSE
1273.01	1	sp|P84078|ARF1_MOUSE	redundant	47.0	181	20697	ADP-ribosylation factor 1 OS=Mus musculus OX=10090 GN=Arf1 PE=1 SV=2	33	14	0.424	33	14	23.680	sp|P61205|ARF3_MOUSE, sp|P61750|ARF4_MOUSE, sp|P84084|ARF5_MOUSE
1274.0	1	sp|P61211|ARL1_MOUSE	 	39.2	181	20411	ADP-ribosylation factor-like protein 1 OS=Mus musculus OX=10090 GN=Arl1 PE=1 SV=1	11	11	1.000	11	11	11.000	 
1275.0	1	sp|P61219|RPAB2_MOUSE	 	11.8	127	14464	DNA-directed RNA polymerases I, II, and III subunit RPABC2 OS=Mus musculus OX=10090 GN=Polr2f PE=2 SV=1	3	3	1.000	3	3	3.000	 
1276.0	1	sp|P61222|ABCE1_MOUSE	 	28.9	599	67314	ATP-binding cassette sub-family E member 1 OS=Mus musculus OX=10090 GN=Abce1 PE=1 SV=1	24	24	1.000	24	24	24.000	 
1277.0	1	sp|P61226|RAP2B_MOUSE	 	48.1	183	20504	Ras-related protein Rap-2b OS=Mus musculus OX=10090 GN=Rap2b PE=1 SV=1	8	4	0.500	8	4	5.143	sp|P61226|RAP2B_MOUSE, sp|Q8BU31|RAP2C_MOUSE
1278.0	1	sp|P61255|RL26_MOUSE	 	50.3	145	17258	60S ribosomal protein L26 OS=Mus musculus OX=10090 GN=Rpl26 PE=1 SV=1	26	26	1.000	26	26	26.000	 
1279.0	1	sp|P61290|PSME3_MOUSE	 	42.1	254	29506	Proteasome activator complex subunit 3 OS=Mus musculus OX=10090 GN=Psme3 PE=1 SV=1	20	20	1.000	20	20	20.000	 
1280.0	1	sp|P61327|MGN_MOUSE	 	50.7	146	17163	Protein mago nashi homolog OS=Mus musculus OX=10090 GN=Magoh PE=2 SV=1	8	8	1.000	8	8	8.000	 
1280.01	1	sp|Q9CQL1|MGN2_MOUSE	redundant	50.7	146	17091	Protein mago nashi homolog 2 OS=Mus musculus OX=10090 GN=Magohb PE=2 SV=1	8	8	1.000	8	8	8.000	 
1281.0	1	sp|P61358|RL27_MOUSE	 	59.6	136	15798	60S ribosomal protein L27 OS=Mus musculus OX=10090 GN=Rpl27 PE=1 SV=2	34	34	1.000	34	34	34.000	 
1282.0	1	sp|P61406|EST1A_MOUSE	 	2.8	1418	160494	Telomerase-binding protein EST1A OS=Mus musculus OX=10090 GN=Smg6 PE=1 SV=1	3	3	1.000	3	3	3.000	 
1283.0	1	sp|P61514|RL37A_MOUSE	 	58.7	92	10275	60S ribosomal protein L37a OS=Mus musculus OX=10090 GN=Rpl37a PE=1 SV=2	28	28	1.000	28	28	28.000	 
1284.0	1	sp|P61600|NAA20_MOUSE	 	13.5	178	20368	N-alpha-acetyltransferase 20 OS=Mus musculus OX=10090 GN=Naa20 PE=1 SV=1	2	2	1.000	2	2	2.000	 
1285.0	1	sp|P61620|S61A1_MOUSE	 	13.7	476	52264	Protein transport protein Sec61 subunit alpha isoform 1 OS=Mus musculus OX=10090 GN=Sec61a1 PE=1 SV=2	10	10	1.000	10	10	10.000	 
1286.0	1	sp|P61750|ARF4_MOUSE	 	38.9	180	20396	ADP-ribosylation factor 4 OS=Mus musculus OX=10090 GN=Arf4 PE=1 SV=2	22	8	0.364	22	8	12.038	sp|P61205|ARF3_MOUSE, sp|P61750|ARF4_MOUSE, sp|P84084|ARF5_MOUSE
1287.0	1	sp|P61759|PFD3_MOUSE	 	33.2	196	22435	Prefoldin subunit 3 OS=Mus musculus OX=10090 GN=Vbp1 PE=1 SV=2	7	7	1.000	7	7	7.000	 
1288.0	1	sp|P61804|DAD1_MOUSE	 	19.5	113	12497	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 OS=Mus musculus OX=10090 GN=Dad1 PE=1 SV=3	3	3	1.000	3	3	3.000	 
1289.0	1	sp|P61924|COPZ1_MOUSE	 	27.1	177	20198	Coatomer subunit zeta-1 OS=Mus musculus OX=10090 GN=Copz1 PE=1 SV=1	8	8	1.000	8	8	8.000	 
1290.0	1	sp|P61957|SUMO2_MOUSE	 	27.4	95	10871	Small ubiquitin-related modifier 2 OS=Mus musculus OX=10090 GN=Sumo2 PE=1 SV=1	7	2	0.286	7	2	4.500	sp|P61957|SUMO2_MOUSE, sp|Q9Z172|SUMO3_MOUSE
1291.0	1	sp|P61961|UFM1_MOUSE	 	25.9	85	9117	Ubiquitin-fold modifier 1 OS=Mus musculus OX=10090 GN=Ufm1 PE=1 SV=1	3	3	1.000	3	3	3.000	 
