Program "PAW_protein_grouper.py" run on Fri Feb  8 15:55:01 2019


	=SUBTOTAL(109,B6:B5432)													Total	Unique	Corrected
1503	1	sp|P97315|CSRP1_MOUSE	 	 	 	 	44.0	193	20583	Cysteine and glycine-rich protein 1 OS=Mus musculus OX=10090 GN=Csrp1 PE=1 SV=3	10	10	1.000	10	10	10.000
1504	1	sp|P97329|KI20A_MOUSE	 	 	 	 	5.1	887	99875	Kinesin-like protein KIF20A OS=Mus musculus OX=10090 GN=Kif20a PE=1 SV=1	4	4	1.000	4	4	4.000
1505	1	sp|P97333|NRP1_MOUSE	 	 	 	 	3.1	923	102999	Neuropilin-1 OS=Mus musculus OX=10090 GN=Nrp1 PE=1 SV=2	2	2	1.000	2	2	2.000
1506	1	sp|P97346|NXN_MOUSE	 	 	 	 	15.9	435	48343	Nucleoredoxin OS=Mus musculus OX=10090 GN=Nxn PE=1 SV=1	6	6	1.000	6	6	6.000
1507	1	sp|P97351|RS3A_MOUSE	 	 	 	 	64.0	264	29885	40S ribosomal protein S3a OS=Mus musculus OX=10090 GN=Rps3a PE=1 SV=3	63	63	1.000	63	63	63.000
1508	1	sp|P97352|S10AD_MOUSE	 	 	 	 	38.8	98	11158	Protein S100-A13 OS=Mus musculus OX=10090 GN=S100a13 PE=1 SV=1	5	5	1.000	5	5	5.000
1509	1	sp|P97355|SPSY_MOUSE	 	 	 	 	9.8	366	41313	Spermine synthase OS=Mus musculus OX=10090 GN=Sms PE=1 SV=1	5	5	1.000	5	5	5.000
1510	1	sp|P97360|ETV6_MOUSE	 	 	 	 	9.5	485	56405	Transcription factor ETV6 OS=Mus musculus OX=10090 GN=Etv6 PE=1 SV=1	5	5	1.000	5	5	5.000
1511	1	sp|P97363|SPTC2_MOUSE	 	 	 	 	28.8	560	62981	Serine palmitoyltransferase 2 OS=Mus musculus OX=10090 GN=Sptlc2 PE=1 SV=2	22	22	1.000	22	22	22.000
1512	1	sp|P97364|SPS2_MOUSE	 	 	 	 	20.1	452	47833	Selenide, water dikinase 2 OS=Mus musculus OX=10090 GN=Sephs2 PE=1 SV=3	7	7	1.000	7	7	7.000
1513	1	sp|P97369|NCF4_MOUSE	 	 	 	 	56.6	339	38707	Neutrophil cytosol factor 4 OS=Mus musculus OX=10090 GN=Ncf4 PE=1 SV=2	59	59	1.000	59	59	59.000
1514	1	sp|P97370|AT1B3_MOUSE	 	 	 	 	33.5	278	31775	Sodium/potassium-transporting ATPase subunit beta-3 OS=Mus musculus OX=10090 GN=Atp1b3 PE=1 SV=1	13	13	1.000	13	13	13.000
1515	1	sp|P97371|PSME1_MOUSE	 	 	 	 	44.2	249	28673	Proteasome activator complex subunit 1 OS=Mus musculus OX=10090 GN=Psme1 PE=1 SV=2	25	25	1.000	25	25	25.000
1516	1	sp|P97372|PSME2_MOUSE	 	 	 	 	27.2	239	27057	Proteasome activator complex subunit 2 OS=Mus musculus OX=10090 GN=Psme2 PE=1 SV=4	20	20	1.000	20	20	20.000
1517	1	sp|P97376|FRG1_MOUSE	 	 	 	 	33.7	258	29127	Protein FRG1 OS=Mus musculus OX=10090 GN=Frg1 PE=1 SV=2	13	13	1.000	13	13	13.000
1518	1	sp|P97377|CDK2_MOUSE	 	 	sp|P08103|HCK_MOUSE, sp|P11440|CDK1_MOUSE, sp|P14234|FGR_MOUSE, sp|P25911|LYN_MOUSE, sp|P30285|CDK4_MOUSE, sp|P49615|CDK5_MOUSE, sp|P97377|CDK2_MOUSE, sp|Q04736|YES_MOUSE, sp|Q04899|CDK18_MOUSE, sp|Q14AX6|CDK12_MOUSE, sp|Q64261|CDK6_MOUSE, sp|Q69ZA1|CDK13_MOUSE, sp|Q8K0D0|CDK17_MOUSE, sp|Q99J95|CDK9_MOUSE	 	26.3	346	38978	Cyclin-dependent kinase 2 OS=Mus musculus OX=10090 GN=Cdk2 PE=1 SV=2	11	7	0.636	11	7	7.611
1519	1	sp|P97379|G3BP2_MOUSE	 	 	 	 	18.7	482	54087	Ras GTPase-activating protein-binding protein 2 OS=Mus musculus OX=10090 GN=G3bp2 PE=1 SV=2	9	9	1.000	9	9	9.000
1520	1	sp|P97384|ANX11_MOUSE	 	 	sp|O35639|ANXA3_MOUSE, sp|P97384|ANX11_MOUSE	 	40.8	503	54079	Annexin A11 OS=Mus musculus OX=10090 GN=Anxa11 PE=1 SV=2	59	52	0.881	59	52	55.193
1521	1	sp|P97386|DNLI3_MOUSE	 	 	 	 	10.7	1015	113071	DNA ligase 3 OS=Mus musculus OX=10090 GN=Lig3 PE=1 SV=2	11	11	1.000	11	11	11.000
1522	1	sp|P97390|VPS45_MOUSE	 	 	 	 	8.9	570	65052	Vacuolar protein sorting-associated protein 45 OS=Mus musculus OX=10090 GN=Vps45 PE=1 SV=1	6	6	1.000	6	6	6.000
1523	1	sp|P97412|LYST_MOUSE	 	 	 	 	3.0	3788	425282	Lysosomal-trafficking regulator OS=Mus musculus OX=10090 GN=Lyst PE=1 SV=1	8	8	1.000	8	8	8.000
1524	1	sp|P97429|ANXA4_MOUSE	 	 	sp|P14824|ANXA6_MOUSE, sp|P97429|ANXA4_MOUSE	 	45.5	319	35915	Annexin A4 OS=Mus musculus OX=10090 GN=Anxa4 PE=1 SV=4	38	37	0.974	38	37	37.319
1525	1	sp|P97430|SLPI_MOUSE	 	 	 	 	18.3	131	14308	Antileukoproteinase OS=Mus musculus OX=10090 GN=Slpi PE=1 SV=1	3	3	1.000	3	3	3.000
1526	1	sp|P97434|MPRIP_MOUSE	 	 	 	 	4.4	1024	116407	Myosin phosphatase Rho-interacting protein OS=Mus musculus OX=10090 GN=Mprip PE=1 SV=2	4	4	1.000	4	4	4.000
1527	1	sp|P97449|AMPN_MOUSE	 	 	 	 	15.5	966	109650	Aminopeptidase N OS=Mus musculus OX=10090 GN=Anpep PE=1 SV=4	16	16	1.000	16	16	16.000
1528	1	sp|P97450|ATP5J_MOUSE	 	 	 	 	43.5	108	12496	ATP synthase-coupling factor 6, mitochondrial OS=Mus musculus OX=10090 GN=Atp5pf PE=1 SV=1	10	10	1.000	10	10	10.000
1529	1	sp|P97452|BOP1_MOUSE	 	 	 	 	29.2	732	82545	Ribosome biogenesis protein BOP1 OS=Mus musculus OX=10090 GN=Bop1 PE=1 SV=1	17	17	1.000	17	17	17.000
1530	1	sp|P97457|MLRS_MOUSE	 	 	 	 	71.6	169	18955	Myosin regulatory light chain 2, skeletal muscle isoform OS=Mus musculus OX=10090 GN=Mylpf PE=1 SV=3	21	21	1.000	21	21	21.000
1531	1	sp|P97461|RS5_MOUSE	 	 	 	 	20.6	204	22889	40S ribosomal protein S5 OS=Mus musculus OX=10090 GN=Rps5 PE=1 SV=3	23	23	1.000	23	23	23.000
1532	1	sp|P97465|DOK1_MOUSE	 	 	 	 	5.2	482	52451	Docking protein 1 OS=Mus musculus OX=10090 GN=Dok1 PE=1 SV=2	2	2	1.000	2	2	2.000
1533	1	sp|P97470|PP4C_MOUSE	 	 	sp|P62715|PP2AB_MOUSE, sp|P63330|PP2AA_MOUSE, sp|P97470|PP4C_MOUSE	 	24.8	307	35080	Serine/threonine-protein phosphatase 4 catalytic subunit OS=Mus musculus OX=10090 GN=Ppp4c PE=1 SV=2	8	7	0.875	8	7	7.467
1534	1	sp|P97471|SMAD4_MOUSE	 	 	 	 	4.0	551	60341	Mothers against decapentaplegic homolog 4 OS=Mus musculus OX=10090 GN=Smad4 PE=1 SV=2	2	2	1.000	2	2	2.000
1535	1	sp|P97473|TRBP2_MOUSE	 	 	 	 	10.1	365	38842	RISC-loading complex subunit TARBP2 OS=Mus musculus OX=10090 GN=Tarbp2 PE=1 SV=2	3	3	1.000	3	3	3.000
1536	1	sp|P97477|AURKA_MOUSE	 	 	 	 	11.4	395	44772	Aurora kinase A OS=Mus musculus OX=10090 GN=Aurka PE=1 SV=1	3	3	1.000	3	3	3.000
1537	1	sp|P97478|COQ7_MOUSE	 	 	 	 	14.7	217	24041	5-demethoxyubiquinone hydroxylase, mitochondrial OS=Mus musculus OX=10090 GN=Coq7 PE=1 SV=3	2	2	1.000	2	2	2.000
1538	1	sp|P97480|EYA3_MOUSE	 	 	 	 	8.6	510	55973	Eyes absent homolog 3 OS=Mus musculus OX=10090 GN=Eya3 PE=1 SV=2	3	3	1.000	3	3	3.000
1539	1	sp|P97484|LIRB3_MOUSE	 	 	sp|P97484|LIRB3_MOUSE, tr|E9Q1Z6|E9Q1Z6_MOUSE, tr|F6PZL4|F6PZL4_MOUSE, tr|F8VQ94|F8VQ94_MOUSE	 	14.7	841	93053	Leukocyte immunoglobulin-like receptor subfamily B member 3 OS=Mus musculus OX=10090 GN=Lilrb3 PE=1 SV=1	17	5	0.294	17	5	10.352
1540	1	sp|P97492|RGS14_MOUSE	 	 	 	 	30.0	547	59846	Regulator of G-protein signaling 14 OS=Mus musculus OX=10090 GN=Rgs14 PE=1 SV=2	14	14	1.000	14	14	14.000
1541	1	sp|P97494|GSH1_MOUSE	 	 	 	 	17.6	637	72571	Glutamate--cysteine ligase catalytic subunit OS=Mus musculus OX=10090 GN=Gclc PE=1 SV=4	9	9	1.000	9	9	9.000
1542	1	sp|P97496|SMRC1_MOUSE	 	 	sp|P97496|SMRC1_MOUSE, sp|Q6PDG5|SMRC2_MOUSE	 	23.6	1104	122889	SWI/SNF complex subunit SMARCC1 OS=Mus musculus OX=10090 GN=Smarcc1 PE=1 SV=2	29	15	0.517	29	15	23.077
1543	1	sp|P97499|TEP1_MOUSE	 	 	 	 	1.7	2629	291456	Telomerase protein component 1 OS=Mus musculus OX=10090 GN=Tep1 PE=1 SV=1	4	4	1.000	4	4	4.000
1544	1	sp|P97742|CPT1A_MOUSE	 	 	 	 	14.7	773	88250	Carnitine O-palmitoyltransferase 1, liver isoform OS=Mus musculus OX=10090 GN=Cpt1a PE=1 SV=4	9	9	1.000	9	9	9.000
1545	1	sp|P97760|RPB3_MOUSE	 	 	 	 	20.7	275	31443	DNA-directed RNA polymerase II subunit RPB3 OS=Mus musculus OX=10090 GN=Polr2c PE=1 SV=2	8	8	1.000	8	8	8.000
1546	1	sp|P97765|WBP2_MOUSE	 	 	 	 	15.7	261	28032	WW domain-binding protein 2 OS=Mus musculus OX=10090 GN=Wbp2 PE=1 SV=1	6	6	1.000	6	6	6.000
1547	1	sp|P97770|THUM3_MOUSE	 	 	 	 	13.7	505	56431	THUMP domain-containing protein 3 OS=Mus musculus OX=10090 GN=Thumpd3 PE=1 SV=1	5	5	1.000	5	5	5.000
1548	1	sp|P97789|XRN1_MOUSE	 	 	 	 	8.4	1719	194305	5'-3' exoribonuclease 1 OS=Mus musculus OX=10090 GN=Xrn1 PE=1 SV=1	12	12	1.000	12	12	12.000
1549	1	sp|P97797|SHPS1_MOUSE	 	 	 	 	18.9	513	56424	Tyrosine-protein phosphatase non-receptor type substrate 1 OS=Mus musculus OX=10090 GN=Sirpa PE=1 SV=1	9	9	1.000	9	9	9.000
1550	1	sp|P97801|SMN_MOUSE	 	 	 	 	19.1	288	31254	Survival motor neuron protein OS=Mus musculus OX=10090 GN=Smn1 PE=1 SV=1	4	4	1.000	4	4	4.000
1551	1	sp|P97807|FUMH_MOUSE	 	 	 	 	47.9	507	54356	Fumarate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Fh PE=1 SV=3	45	45	1.000	45	45	45.000
1552	1	sp|P97808|FXYD5_MOUSE	 	 	 	 	50.0	178	19454	FXYD domain-containing ion transport regulator 5 OS=Mus musculus OX=10090 GN=Fxyd5 PE=1 SV=3	10	10	1.000	10	10	10.000
1553	1	sp|P97814|PPIP1_MOUSE	 	 	 	 	37.1	415	47590	Proline-serine-threonine phosphatase-interacting protein 1 OS=Mus musculus OX=10090 GN=Pstpip1 PE=1 SV=1	16	16	1.000	16	16	16.000
1554	1	sp|P97820|M4K4_MOUSE	 	 	sp|P97820|M4K4_MOUSE, sp|Q9JM52|MINK1_MOUSE	 	9.5	1233	140600	Mitogen-activated protein kinase kinase kinase kinase 4 OS=Mus musculus OX=10090 GN=Map4k4 PE=1 SV=1	9	4	0.444	9	4	7.333
1555	1	sp|P97821|CATC_MOUSE	 	 	 	 	19.0	462	52376	Dipeptidyl peptidase 1 OS=Mus musculus OX=10090 GN=Ctsc PE=1 SV=1	9	9	1.000	9	9	9.000
1556	1	sp|P97822|AN32E_MOUSE	 	 	 	 	22.3	260	29622	Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Mus musculus OX=10090 GN=Anp32e PE=1 SV=2	13	13	1.000	13	13	13.000
1557	1	sp|P97823|LYPA1_MOUSE	 	 	 	 	33.0	230	24687	Acyl-protein thioesterase 1 OS=Mus musculus OX=10090 GN=Lypla1 PE=1 SV=1	13	13	1.000	13	13	13.000
1558	1	sp|P97825|JUPI1_MOUSE	 	 	 	 	37.7	154	16080	Jupiter microtubule associated homolog 1 OS=Mus musculus OX=10090 GN=Jpt1 PE=1 SV=3	7	7	1.000	7	7	7.000
1559	1	sp|P97855|G3BP1_MOUSE	 	 	 	 	45.4	465	51828	Ras GTPase-activating protein-binding protein 1 OS=Mus musculus OX=10090 GN=G3bp1 PE=1 SV=1	38	38	1.000	38	38	38.000
1560	1	sp|P97864|CASP7_MOUSE	 	 	 	 	40.3	303	34060	Caspase-7 OS=Mus musculus OX=10090 GN=Casp7 PE=1 SV=2	13	13	1.000	13	13	13.000
1561	1	sp|P97868|RBBP6_MOUSE	 	 	 	 	7.0	1790	199585	E3 ubiquitin-protein ligase RBBP6 OS=Mus musculus OX=10090 GN=Rbbp6 PE=1 SV=5	8	8	1.000	8	8	8.000
1562	1	sp|P97872|FMO5_MOUSE	 	 	 	 	7.7	533	60000	Dimethylaniline monooxygenase [N-oxide-forming] 5 OS=Mus musculus OX=10090 GN=Fmo5 PE=1 SV=4	3	3	1.000	3	3	3.000
1563	1	sp|P97930|KTHY_MOUSE	 	 	 	 	47.2	212	23914	Thymidylate kinase OS=Mus musculus OX=10090 GN=Dtymk PE=1 SV=2	12	12	1.000	12	12	12.000
1564	1	sp|P98078|DAB2_MOUSE	 	 	 	 	27.0	766	82311	Disabled homolog 2 OS=Mus musculus OX=10090 GN=Dab2 PE=1 SV=2	26	26	1.000	26	26	26.000
1565	1	sp|P98083|SHC1_MOUSE	 	 	 	 	21.9	579	62607	SHC-transforming protein 1 OS=Mus musculus OX=10090 GN=Shc1 PE=1 SV=3	10	10	1.000	10	10	10.000
1566	1	sp|P98192|GNPAT_MOUSE	 	 	 	 	9.6	678	76869	Dihydroxyacetone phosphate acyltransferase OS=Mus musculus OX=10090 GN=Gnpat PE=1 SV=1	4	4	1.000	4	4	4.000
1567	1	sp|P98195|ATP9B_MOUSE	 	 	 	 	8.1	1146	129016	Probable phospholipid-transporting ATPase IIB OS=Mus musculus OX=10090 GN=Atp9b PE=1 SV=4	8	8	1.000	8	8	8.000
1568	1	sp|P99024|TBB5_MOUSE	 	 	sp|A2AQ07|TBB1_MOUSE, sp|P68372|TBB4B_MOUSE, sp|P99024|TBB5_MOUSE, sp|Q7TMM9|TBB2A_MOUSE, sp|Q922F4|TBB6_MOUSE, sp|Q9CWF2|TBB2B_MOUSE, sp|Q9D6F9|TBB4A_MOUSE, sp|Q9ERD7|TBB3_MOUSE	 	70.9	444	49670	Tubulin beta-5 chain OS=Mus musculus OX=10090 GN=Tubb5 PE=1 SV=1	212	26	0.123	212	26	101.487
1569	1	sp|P99026|PSB4_MOUSE	 	 	 	 	39.4	264	29116	Proteasome subunit beta type-4 OS=Mus musculus OX=10090 GN=Psmb4 PE=1 SV=1	34	34	1.000	34	34	34.000
1570	1	sp|P99027|RLA2_MOUSE	 	 	 	 	75.7	115	11651	60S acidic ribosomal protein P2 OS=Mus musculus OX=10090 GN=Rplp2 PE=1 SV=3	30	30	1.000	30	30	30.000
1571	1	sp|P99028|QCR6_MOUSE	 	 	 	 	46.1	89	10435	Cytochrome b-c1 complex subunit 6, mitochondrial OS=Mus musculus OX=10090 GN=Uqcrh PE=1 SV=2	6	6	1.000	6	6	6.000
1572	1	sp|P99029|PRDX5_MOUSE	 	 	 	 	57.6	210	21897	Peroxiredoxin-5, mitochondrial OS=Mus musculus OX=10090 GN=Prdx5 PE=1 SV=2	66	66	1.000	66	66	66.000
1573	1	sp|Q00422|GABPA_MOUSE	 	 	 	 	24.4	454	51344	GA-binding protein alpha chain OS=Mus musculus OX=10090 GN=Gabpa PE=1 SV=2	11	11	1.000	11	11	11.000
1574	1	sp|Q00519|XDH_MOUSE	 	 	 	 	21.0	1335	146561	Xanthine dehydrogenase/oxidase OS=Mus musculus OX=10090 GN=Xdh PE=1 SV=5	43	43	1.000	43	43	43.000
1575	1	sp|Q00547|HMMR_MOUSE	 	 	 	 	9.8	794	91784	Hyaluronan mediated motility receptor OS=Mus musculus OX=10090 GN=Hmmr PE=1 SV=4	5	5	1.000	5	5	5.000
1576	1	sp|Q00612|G6PD1_MOUSE	 	 	 	 	56.7	515	59262	Glucose-6-phosphate 1-dehydrogenase X OS=Mus musculus OX=10090 GN=G6pdx PE=1 SV=3	107	107	1.000	107	107	107.000
1577	1	sp|Q00623|APOA1_MOUSE	 	 	 	 	7.2	264	30615	Apolipoprotein A-I OS=Mus musculus OX=10090 GN=Apoa1 PE=1 SV=2	2	2	1.000	2	2	2.000
1578	1	sp|Q00651|ITA4_MOUSE	 	 	 	 	10.5	1039	115694	Integrin alpha-4 OS=Mus musculus OX=10090 GN=Itga4 PE=1 SV=1	9	9	1.000	9	9	9.000
1579	1	sp|Q00899|TYY1_MOUSE	 	 	sp|P22227|ZFP42_MOUSE, sp|Q00899|TYY1_MOUSE	 	12.3	414	44716	Transcriptional repressor protein YY1 OS=Mus musculus OX=10090 GN=Yy1 PE=1 SV=1	8	7	0.875	8	7	7.875
1580	1	sp|Q00941|CSF2R_MOUSE	 	 	 	 	5.9	388	41768	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha OS=Mus musculus OX=10090 GN=Csf2ra PE=2 SV=2	3	3	1.000	3	3	3.000
1581	1	sp|Q00PI9|HNRL2_MOUSE	 	 	 	 	30.5	745	84939	Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Mus musculus OX=10090 GN=Hnrnpul2 PE=1 SV=2	44	44	1.000	44	44	44.000
1582	1	sp|Q01063|PDE4D_MOUSE	 	 	 	 	2.3	747	84562	cAMP-specific 3',5'-cyclic phosphodiesterase 4D OS=Mus musculus OX=10090 GN=Pde4d PE=1 SV=2	2	2	1.000	2	2	2.000
1583	1	sp|Q01149|CO1A2_MOUSE	 	 	 	 	5.9	1372	129555	Collagen alpha-2(I) chain OS=Mus musculus OX=10090 GN=Col1a2 PE=1 SV=2	13	13	1.000	13	13	13.000
1584	1	sp|Q01320|TOP2A_MOUSE	 	 	sp|Q01320|TOP2A_MOUSE, sp|Q64511|TOP2B_MOUSE	 	31.0	1528	172788	DNA topoisomerase 2-alpha OS=Mus musculus OX=10090 GN=Top2a PE=1 SV=2	64	45	0.703	64	45	56.104
1585	1	sp|Q01405|SC23A_MOUSE	 	 	sp|Q01405|SC23A_MOUSE, sp|Q9D662|SC23B_MOUSE	 	26.0	765	86161	Protein transport protein Sec23A OS=Mus musculus OX=10090 GN=Sec23a PE=1 SV=2	23	17	0.739	23	17	19.833
1586	1	sp|Q01705|NOTC1_MOUSE	 	 	 	 	3.4	2531	270833	Neurogenic locus notch homolog protein 1 OS=Mus musculus OX=10090 GN=Notch1 PE=1 SV=3	6	6	1.000	6	6	6.000
1587	1	sp|Q01730|RSU1_MOUSE	 	 	 	 	19.9	277	31550	Ras suppressor protein 1 OS=Mus musculus OX=10090 GN=Rsu1 PE=1 SV=3	11	11	1.000	11	11	11.000
1588	1	sp|Q01853|TERA_MOUSE	 	 	sp|Q01853|TERA_MOUSE, sp|Q3UMC0|AFG2H_MOUSE	 	64.1	806	89321	Transitional endoplasmic reticulum ATPase OS=Mus musculus OX=10090 GN=Vcp PE=1 SV=4	160	153	0.956	160	153	159.470
1589	1	sp|Q01965|LY9_MOUSE	 	 	 	 	9.8	654	73142	T-lymphocyte surface antigen Ly-9 OS=Mus musculus OX=10090 GN=Ly9 PE=1 SV=2	6	6	1.000	6	6	6.000
1590	1	sp|Q02013|AQP1_MOUSE	 	 	 	 	10.8	269	28793	Aquaporin-1 OS=Mus musculus OX=10090 GN=Aqp1 PE=1 SV=3	6	6	1.000	6	6	6.000
1591	1	sp|Q02053|UBA1_MOUSE	 	 	 	 	48.2	1058	117808	Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus OX=10090 GN=Uba1 PE=1 SV=1	126	126	1.000	126	126	126.000
1592	1	sp|Q02248|CTNB1_MOUSE	 	 	 	 	4.4	781	85470	Catenin beta-1 OS=Mus musculus OX=10090 GN=Ctnnb1 PE=1 SV=1	3	3	1.000	3	3	3.000
1593	1	sp|Q02357|ANK1_MOUSE	 	 	 	 	1.5	1862	204225	Ankyrin-1 OS=Mus musculus OX=10090 GN=Ank1 PE=1 SV=2	2	2	1.000	2	2	2.000
1594	1	sp|Q02395|MTF2_MOUSE	 	 	 	 	6.7	593	66924	Metal-response element-binding transcription factor 2 OS=Mus musculus OX=10090 GN=Mtf2 PE=1 SV=2	4	4	1.000	4	4	4.000
1595	1	sp|Q02566|MYH6_MOUSE	 	 	sp|O08638|MYH11_MOUSE, sp|P13541|MYH3_MOUSE, sp|P13542|MYH8_MOUSE, sp|Q02566|MYH6_MOUSE, sp|Q5SX39|MYH4_MOUSE, sp|Q5SX40|MYH1_MOUSE, sp|Q61879|MYH10_MOUSE, sp|Q8VDD5|MYH9_MOUSE, sp|Q91Z83|MYH7_MOUSE, tr|B1AR69|B1AR69_MOUSE, tr|G3UW82|G3UW82_MOUSE	 	13.2	1938	223563	Myosin-6 OS=Mus musculus OX=10090 GN=Myh6 PE=1 SV=2	78	0	0.000	78	0	0.000
1596	1	sp|Q02614|S30BP_MOUSE	 	 	 	 	19.2	308	33832	SAP30-binding protein OS=Mus musculus OX=10090 GN=Sap30bp PE=1 SV=2	4	4	1.000	4	4	4.000
1597	1	sp|Q02788|CO6A2_MOUSE	 	 	 	 	3.1	1034	110333	Collagen alpha-2(VI) chain OS=Mus musculus OX=10090 GN=Col6a2 PE=1 SV=3	3	3	1.000	3	3	3.000
1598	1	sp|Q02819|NUCB1_MOUSE	 	 	 	 	45.5	459	53408	Nucleobindin-1 OS=Mus musculus OX=10090 GN=Nucb1 PE=1 SV=2	38	38	1.000	38	38	38.000
1599	1	sp|Q03141|MARK3_MOUSE	 	 	sp|Q03141|MARK3_MOUSE, sp|Q05512|MARK2_MOUSE	 	4.4	753	84389	MAP/microtubule affinity-regulating kinase 3 OS=Mus musculus OX=10090 GN=Mark3 PE=1 SV=2	3	1	0.333	3	1	1.154
1600	1	sp|Q03147|CDK7_MOUSE	 	 	 	 	8.4	346	38968	Cyclin-dependent kinase 7 OS=Mus musculus OX=10090 GN=Cdk7 PE=1 SV=2	4	4	1.000	4	4	4.000
1601	1	sp|Q03249|GALT_MOUSE	 	 	 	 	16.4	379	43232	Galactose-1-phosphate uridylyltransferase OS=Mus musculus OX=10090 GN=Galt PE=1 SV=3	9	9	1.000	9	9	9.000
1602	1	sp|Q03265|ATPA_MOUSE	 	 	 	 	59.3	553	59752	ATP synthase subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1a PE=1 SV=1	92	92	1.000	92	92	92.000
1603	1	sp|Q03267|IKZF1_MOUSE	 	 	 	 	13.5	517	57336	DNA-binding protein Ikaros OS=Mus musculus OX=10090 GN=Ikzf1 PE=1 SV=2	8	8	1.000	8	8	8.000
1604	1	sp|Q03347|RUNX1_MOUSE	 	 	 	 	20.2	451	48609	Runt-related transcription factor 1 OS=Mus musculus OX=10090 GN=Runx1 PE=1 SV=1	10	10	1.000	10	10	10.000
1605	1	sp|Q03958|PFD6_MOUSE	 	 	 	 	23.6	127	14454	Prefoldin subunit 6 OS=Mus musculus OX=10090 GN=Pfdn6 PE=1 SV=1	6	6	1.000	6	6	6.000
1606	1	sp|Q03963|E2AK2_MOUSE	 	 	 	 	19.8	515	58279	Interferon-induced, double-stranded RNA-activated protein kinase OS=Mus musculus OX=10090 GN=Eif2ak2 PE=1 SV=2	17	17	1.000	17	17	17.000
1607	1	sp|Q04207|TF65_MOUSE	 	 	 	 	21.7	549	60211	Transcription factor p65 OS=Mus musculus OX=10090 GN=Rela PE=1 SV=1	12	12	1.000	12	12	12.000
1608	1	sp|Q04447|KCRB_MOUSE	 	 	 	 	24.7	381	42713	Creatine kinase B-type OS=Mus musculus OX=10090 GN=Ckb PE=1 SV=1	9	9	1.000	9	9	9.000
1609	1	sp|Q04692|SMRCD_MOUSE	 	 	 	 	2.4	1021	116450	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 OS=Mus musculus OX=10090 GN=Smarcad1 PE=1 SV=2	2	2	1.000	2	2	2.000
1610	1	sp|Q04736|YES_MOUSE	 	 	sp|P05480|SRC_MOUSE, sp|P08103|HCK_MOUSE, sp|P11440|CDK1_MOUSE, sp|P14234|FGR_MOUSE, sp|P25911|LYN_MOUSE, sp|P30285|CDK4_MOUSE, sp|P49615|CDK5_MOUSE, sp|P97377|CDK2_MOUSE, sp|Q04736|YES_MOUSE, sp|Q04899|CDK18_MOUSE, sp|Q14AX6|CDK12_MOUSE, sp|Q64261|CDK6_MOUSE, sp|Q69ZA1|CDK13_MOUSE, sp|Q8K0D0|CDK17_MOUSE, sp|Q99J95|CDK9_MOUSE	 	9.6	541	60629	Tyrosine-protein kinase Yes OS=Mus musculus OX=10090 GN=Yes1 PE=1 SV=3	13	0	0.000	13	0	0.000
1611	1	sp|Q04750|TOP1_MOUSE	 	 	 	 	37.3	767	90875	DNA topoisomerase 1 OS=Mus musculus OX=10090 GN=Top1 PE=1 SV=2	45	45	1.000	45	45	45.000
1612	1	sp|Q04857|CO6A1_MOUSE	 	 	 	 	9.5	1025	108488	Collagen alpha-1(VI) chain OS=Mus musculus OX=10090 GN=Col6a1 PE=1 SV=1	7	7	1.000	7	7	7.000
1613	1	sp|Q04899|CDK18_MOUSE	 	 	sp|P08103|HCK_MOUSE, sp|P11440|CDK1_MOUSE, sp|P14234|FGR_MOUSE, sp|P25911|LYN_MOUSE, sp|P30285|CDK4_MOUSE, sp|P49615|CDK5_MOUSE, sp|P97377|CDK2_MOUSE, sp|Q04736|YES_MOUSE, sp|Q04899|CDK18_MOUSE, sp|Q14AX6|CDK12_MOUSE, sp|Q64261|CDK6_MOUSE, sp|Q69ZA1|CDK13_MOUSE, sp|Q8K0D0|CDK17_MOUSE, sp|Q99J95|CDK9_MOUSE	 	6.2	451	51847	Cyclin-dependent kinase 18 OS=Mus musculus OX=10090 GN=Cdk18 PE=1 SV=1	3	1	0.333	3	1	1.013
1614	1	sp|Q05117|PPA5_MOUSE	 	 	 	 	27.2	327	36807	Tartrate-resistant acid phosphatase type 5 OS=Mus musculus OX=10090 GN=Acp5 PE=1 SV=2	7	7	1.000	7	7	7.000
1615	1	sp|Q05144|RAC2_MOUSE	 	 	sp|P60766|CDC42_MOUSE, sp|P63001|RAC1_MOUSE, sp|P84096|RHOG_MOUSE, sp|Q05144|RAC2_MOUSE	 	45.3	192	21441	Ras-related C3 botulinum toxin substrate 2 OS=Mus musculus OX=10090 GN=Rac2 PE=1 SV=1	38	18	0.474	38	18	26.584
1616	1	sp|Q05186|RCN1_MOUSE	 	 	 	 	16.9	325	38113	Reticulocalbin-1 OS=Mus musculus OX=10090 GN=Rcn1 PE=1 SV=1	5	5	1.000	5	5	5.000
